"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Angola","ipsl-cm6a-lr ssp126","0.25",0.127083691721764,0,30,0.201965810031098,0.988622391690482,1,0.189422668489517,0
"Angola","ipsl-cm6a-lr ssp585","0.25",0.138030976633,0,30,0.460553917288148,0.985728774928838,1,0.045448384,0.00201979799999996
"Antarctica","gfdl-esm4 ssp126","0.25",NA,NA,30,0,0.25,0.4375,0,NA
"Antarctica","gfdl-esm4 ssp585","0.25",NA,NA,30,0,0,0.25,0,NA
"Antarctica","ipsl-cm6a-lr ssp126","0.25",NA,NA,30,0,0.629607407963,0.776777099944291,0,NA
"Antarctica","ipsl-cm6a-lr ssp585","0.25",NA,NA,30,0,0.1667,0.421365737963,0,NA
"Antigua and Barbuda","gfdl-esm4 ssp126","0.25",0,NA,30,0,0.625,1,0,NA
"Antigua and Barbuda","gfdl-esm4 ssp585","0.25",0,NA,30,0,0.5,1,0,NA
"Antigua and Barbuda","ipsl-cm6a-lr ssp126","0.25",0,NA,30,0.166675,0.768560182963,0.855334201562475,0,NA
"Antigua and Barbuda","ipsl-cm6a-lr ssp585","0.25",0,NA,30,0.1667,0.930544445,1,0,NA
"Argentina","gfdl-esm4 ssp126","0.25",0.799177504015765,0.262822592563088,30,0.780025004248448,0.952405491273248,1,0.401549974151286,0.0621894975145313
"Argentina","gfdl-esm4 ssp585","0.25",0.413587796903598,0.0585734075279998,30,0.26918618513421,0.923992016439534,0.997697332699882,0.0695001139356993,0.000826280999999929
"Argentina","ipsl-cm6a-lr ssp126","0.25",0.867866517256387,0.290853832293694,30,0.520440587886949,0.930089380467361,0.99995370833968,0.139737940329349,0.00165256199999997
"Argentina","ipsl-cm6a-lr ssp585","0.25",0.861012392919056,0.361240517367852,30,0.336502042393931,0.852323676547078,1,0.0300929908019597,0
"Armenia","gfdl-esm4 ssp126","0.25",0.216269174632572,0.0246286279999999,30,0.159615041396616,0.9257950496682,0.976212341628187,0.21861755962384,0.011718571424106
"Armenia","gfdl-esm4 ssp585","0.25",0.198206127316666,-2.22044604925031e-16,30,0.290381390331102,0.952822590228928,0.993381519680015,0.0981978606176286,0.00183599638199994
"Armenia","ipsl-cm6a-lr ssp126","0.25",0.21271026057841,0.00692910656913581,30,0.239417268217337,0.893201570666263,0.99310994604986,0.0625228733724541,0.00100989899999993
"Armenia","ipsl-cm6a-lr ssp585","0.25",0.623057095050476,0.063650760096446,30,0.639855773811834,0.998121403502508,0.999987276457943,0.550536958416754,0.0989968052092476
"Australia","gfdl-esm4 ssp126","0.25",0.0498708283537598,0.00100989899999993,30,0.911327883005876,0.991765193400647,1,0.564344076907229,0.0975713757664779
"Australia","gfdl-esm4 ssp585","0.25",0.00826280999999995,0,30,0.620038514639111,0.99506287418755,1,0.545950947008133,0
"Australia","ipsl-cm6a-lr ssp126","0.25",0.105037576,0.00807919199999985,30,0.0834405095029053,0.994135691738016,0.793927400345929,0.504068508775077,0.07069293
"Australia","ipsl-cm6a-lr ssp585","0.25",0.337744304439381,0.0040395959999997,30,0.780048613707415,0.997727520778067,0.998849472383205,0.269923398553055,0.00807919199999985
